X-Position,Y-Position,Width,Height
----- NEW FRAME -----
tensor(495.6333),tensor(331.8090),tensor(29.5255),tensor(45.0858)
tensor(409.6378),tensor(289.3862),tensor(13.8498),tensor(21.0743)
tensor(52.7166),tensor(327.9263),tensor(30.3689),tensor(40.6726)
tensor(171.0450),tensor(285.7065),tensor(15.1697),tensor(27.2850)
tensor(346.9287),tensor(278.0907),tensor(10.6733),tensor(16.3464)
----- NEW FRAME -----
tensor(495.6412),tensor(331.7830),tensor(29.6404),tensor(45.1296)
tensor(409.6343),tensor(289.3799),tensor(13.8517),tensor(21.0553)
tensor(52.7183),tensor(327.9414),tensor(30.3637),tensor(40.5854)
tensor(171.0519),tensor(285.6783),tensor(15.2106),tensor(27.2740)
tensor(346.9345),tensor(278.0775),tensor(10.6862),tensor(16.3551)
----- NEW FRAME -----
tensor(495.7919),tensor(331.8464),tensor(29.9069),tensor(45.2104)
tensor(409.6788),tensor(289.3609),tensor(13.8963),tensor(20.9591)
tensor(52.6284),tensor(327.8964),tensor(30.4706),tensor(40.5036)
tensor(170.9857),tensor(285.7023),tensor(15.1169),tensor(27.2155)
tensor(346.8862),tensor(278.2351),tensor(10.8606),tensor(16.2856)
----- NEW FRAME -----
tensor(495.7927),tensor(331.8680),tensor(29.7939),tensor(45.2426)
tensor(409.6411),tensor(289.3692),tensor(13.8517),tensor(20.9365)
tensor(52.6731),tensor(327.8820),tensor(30.3689),tensor(40.4404)
tensor(170.9871),tensor(285.7028),tensor(15.0681),tensor(27.1909)
tensor(346.8406),tensor(278.3091),tensor(10.8762),tensor(16.1395)
----- NEW FRAME -----
tensor(495.7205),tensor(331.8243),tensor(29.6364),tensor(45.2313)
tensor(409.6147),tensor(289.3259),tensor(13.8127),tensor(21.1094)
tensor(52.7069),tensor(327.8900),tensor(30.2868),tensor(40.4091)
tensor(170.9821),tensor(285.6841),tensor(15.0627),tensor(27.2311)
tensor(346.8419),tensor(278.3227),tensor(10.8844),tensor(16.1564)
----- NEW FRAME -----
tensor(495.7051),tensor(331.8534),tensor(29.6413),tensor(45.2017)
tensor(409.6742),tensor(289.3362),tensor(13.8575),tensor(21.0156)
tensor(52.7204),tensor(327.8798),tensor(30.3060),tensor(40.4679)
tensor(170.9870),tensor(285.6626),tensor(15.0593),tensor(27.1880)
tensor(346.8374),tensor(278.3186),tensor(10.8813),tensor(16.1424)
----- NEW FRAME -----
tensor(495.7567),tensor(331.9263),tensor(29.7417),tensor(45.1355)
tensor(409.7121),tensor(289.3522),tensor(13.8653),tensor(20.9622)
tensor(52.7020),tensor(327.8563),tensor(30.2752),tensor(40.4872)
tensor(170.9502),tensor(285.6611),tensor(14.9908),tensor(27.2393)
tensor(346.8492),tensor(278.3176),tensor(10.8912),tensor(16.1531)
----- NEW FRAME -----
tensor(495.7564),tensor(331.6647),tensor(29.9397),tensor(45.6945)
tensor(409.6229),tensor(289.3624),tensor(13.9800),tensor(21.1177)
tensor(52.6733),tensor(327.8221),tensor(30.2981),tensor(40.4066)
tensor(170.9408),tensor(285.7635),tensor(14.9244),tensor(27.0850)
tensor(346.8618),tensor(278.3027),tensor(10.9275),tensor(16.1888)
----- NEW FRAME -----
tensor(495.7687),tensor(331.6506),tensor(29.8430),tensor(45.7168)
tensor(409.6367),tensor(289.3712),tensor(13.9432),tensor(21.1032)
tensor(52.6988),tensor(327.8333),tensor(30.2914),tensor(40.3875)
tensor(170.9527),tensor(285.7516),tensor(14.9735),tensor(27.0629)
tensor(346.8546),tensor(278.3363),tensor(10.9381),tensor(16.2418)
----- NEW FRAME -----
tensor(495.7479),tensor(331.5842),tensor(29.9988),tensor(45.8835)
tensor(409.6526),tensor(289.3734),tensor(13.9142),tensor(21.0438)
tensor(52.6856),tensor(327.8216),tensor(30.3740),tensor(40.4369)
tensor(170.9577),tensor(285.7515),tensor(14.9834),tensor(27.0741)
tensor(346.8542),tensor(278.3509),tensor(10.9081),tensor(16.2589)
----- NEW FRAME -----
tensor(496.1255),tensor(332.1584),tensor(30.1488),tensor(44.5547)
tensor(409.3839),tensor(289.2443),tensor(13.6012),tensor(20.8840)
tensor(52.4960),tensor(328.3383),tensor(29.0467),tensor(41.4919)
tensor(170.8980),tensor(285.9409),tensor(15.1479),tensor(27.1984)
tensor(346.8575),tensor(278.5334),tensor(10.8024),tensor(16.6117)
----- NEW FRAME -----
tensor(497.5936),tensor(332.5124),tensor(28.9893),tensor(44.4419)
tensor(409.6530),tensor(289.6067),tensor(14.0674),tensor(21.3724)
tensor(49.1405),tensor(328.7623),tensor(29.9357),tensor(41.6011)
tensor(169.9385),tensor(286.5725),tensor(15.3403),tensor(26.7305)
tensor(346.9021),tensor(278.6193),tensor(10.8019),tensor(16.9179)
----- NEW FRAME -----
tensor(409.7887),tensor(290.2059),tensor(14.2613),tensor(21.9991)
tensor(500.3384),tensor(334.3873),tensor(29.2260),tensor(44.2197)
tensor(44.6991),tensor(330.5467),tensor(30.0154),tensor(44.8103)
tensor(168.1081),tensor(287.1908),tensor(15.7212),tensor(26.7704)
tensor(346.8117),tensor(278.7349),tensor(10.8613),tensor(16.9283)
----- NEW FRAME -----
tensor(501.1265),tensor(334.5506),tensor(29.5005),tensor(44.9635)
tensor(410.1545),tensor(290.2462),tensor(14.4309),tensor(22.1674)
tensor(43.2135),tensor(331.3916),tensor(30.3491),tensor(45.3004)
tensor(167.9227),tensor(287.1441),tensor(16.0632),tensor(26.8170)
tensor(346.9092),tensor(278.8668),tensor(11.0466),tensor(17.0375)
----- NEW FRAME -----
tensor(502.0272),tensor(334.9205),tensor(30.3934),tensor(45.1426)
tensor(41.0406),tensor(331.5131),tensor(32.0052),tensor(45.7488)
tensor(410.2181),tensor(290.2244),tensor(14.3932),tensor(22.4674)
tensor(166.9965),tensor(286.8205),tensor(16.7954),tensor(27.5508)
tensor(346.9059),tensor(278.7332),tensor(11.0621),tensor(16.7855)
----- NEW FRAME -----
tensor(503.1473),tensor(335.8152),tensor(31.0817),tensor(46.4518)
tensor(39.9324),tensor(331.4161),tensor(31.5865),tensor(46.2890)
tensor(410.4326),tensor(290.1685),tensor(14.4100),tensor(22.4515)
tensor(166.7689),tensor(286.8970),tensor(17.0317),tensor(27.7529)
tensor(346.9366),tensor(278.8593),tensor(10.9647),tensor(16.9492)
----- NEW FRAME -----
tensor(503.1655),tensor(335.9470),tensor(31.1047),tensor(46.4163)
tensor(410.4104),tensor(290.1646),tensor(14.4347),tensor(22.4889)
tensor(39.8102),tensor(331.5265),tensor(31.3600),tensor(46.0321)
tensor(166.6730),tensor(286.8212),tensor(17.0289),tensor(27.7772)
tensor(346.9427),tensor(278.8698),tensor(10.9781),tensor(16.9553)
----- NEW FRAME -----
tensor(503.8141),tensor(336.8836),tensor(31.6700),tensor(47.7853)
tensor(410.4216),tensor(290.3163),tensor(14.5594),tensor(22.4031)
tensor(38.6929),tensor(331.8502),tensor(31.6798),tensor(45.5040)
tensor(166.0487),tensor(286.7449),tensor(17.3463),tensor(28.0816)
tensor(346.9447),tensor(278.8428),tensor(11.0307),tensor(16.9650)
----- NEW FRAME -----
tensor(512.2724),tensor(338.7246),tensor(32.6545),tensor(48.9871)
tensor(26.2062),tensor(334.0153),tensor(33.8239),tensor(46.7977)
tensor(412.2917),tensor(290.9703),tensor(15.3289),tensor(22.7849)
tensor(163.4685),tensor(286.8784),tensor(15.8978),tensor(27.7620)
tensor(347.4743),tensor(278.6240),tensor(11.5714),tensor(17.7546)
----- NEW FRAME -----
tensor(532.2889),tensor(349.8141),tensor(36.3777),tensor(55.7229)
tensor(417.1737),tensor(293.1547),tensor(15.2151),tensor(24.2979)
tensor(157.6109),tensor(287.8721),tensor(18.3581),tensor(29.9518)
tensor(9.1891),tensor(341.1154),tensor(18.3782),tensor(48.6569)
----- NEW FRAME -----
tensor(564.6671),tensor(364.0386),tensor(44.3778),tensor(64.0402)
tensor(150.3112),tensor(290.0614),tensor(20.5834),tensor(32.0524)
tensor(423.9528),tensor(295.5281),tensor(16.3885),tensor(24.5973)
----- NEW FRAME -----
tensor(430.8220),tensor(298.0316),tensor(18.7947),tensor(25.9000)
tensor(613.3574),tensor(385.2403),tensor(53.2852),tensor(73.4734)
tensor(134.7625),tensor(296.4323),tensor(19.2083),tensor(24.7756)
tensor(353.1850),tensor(280.8031),tensor(11.0974),tensor(18.6410)
tensor(144.3074),tensor(282.6211),tensor(12.9459),tensor(19.6772)
----- NEW FRAME -----
tensor(440.3030),tensor(301.2625),tensor(18.9243),tensor(29.1630)
tensor(115.2410),tensor(298.2188),tensor(19.5307),tensor(29.6459)
tensor(131.4023),tensor(282.3323),tensor(14.2644),tensor(21.4797)
tensor(354.2964),tensor(280.9830),tensor(12.4548),tensor(19.7244)
----- NEW FRAME -----
tensor(87.9552),tensor(302.1149),tensor(22.7553),tensor(31.7629)
tensor(455.9586),tensor(305.6418),tensor(22.6163),tensor(33.1371)
tensor(115.5415),tensor(282.5731),tensor(15.1686),tensor(21.1125)
tensor(356.3974),tensor(281.8547),tensor(14.6271),tensor(21.3911)
----- NEW FRAME -----
tensor(48.5101),tensor(299.9774),tensor(30.8883),tensor(59.5109)
tensor(476.3635),tensor(310.3879),tensor(24.3457),tensor(40.7861)
tensor(48.4275),tensor(306.8759),tensor(28.7126),tensor(42.5762)
tensor(92.9768),tensor(284.7814),tensor(18.5679),tensor(24.9346)
tensor(357.5471),tensor(283.3380),tensor(16.1930),tensor(24.6444)
----- NEW FRAME -----
tensor(500.2299),tensor(324.4315),tensor(29.4645),tensor(45.1765)
tensor(66.8876),tensor(287.6347),tensor(19.3659),tensor(27.8815)
tensor(360.4755),tensor(287.7014),tensor(15.8320),tensor(25.0419)
tensor(24.7954),tensor(277.8256),tensor(14.7217),tensor(19.9915)
tensor(292.7968),tensor(278.3293),tensor(13.0126),tensor(19.3408)
----- NEW FRAME -----
tensor(531.7598),tensor(341.6907),tensor(36.3145),tensor(55.7683)
tensor(361.8082),tensor(293.9447),tensor(16.4025),tensor(27.6008)
tensor(37.4413),tensor(295.7783),tensor(21.3483),tensor(28.7361)
tensor(37.4403),tensor(287.1683),tensor(21.9941),tensor(48.3075)
tensor(289.2870),tensor(282.4548),tensor(13.0801),tensor(21.0273)
----- NEW FRAME -----
tensor(571.7284),tensor(357.3187),tensor(43.9336),tensor(72.7592)
tensor(363.3430),tensor(299.3916),tensor(17.9572),tensor(30.9827)
tensor(8.7817),tensor(301.3586),tensor(17.5634),tensor(30.0870)
tensor(284.5577),tensor(285.6377),tensor(14.5542),tensor(23.1500)
----- NEW FRAME -----
tensor(367.0009),tensor(304.1843),tensor(20.4776),tensor(33.1779)
tensor(282.7449),tensor(287.8548),tensor(14.1654),tensor(23.8096)
tensor(618.1055),tensor(385.2259),tensor(43.7891),tensor(75.5153)
----- NEW FRAME -----
tensor(376.5409),tensor(307.9930),tensor(21.9745),tensor(35.3939)
tensor(285.7156),tensor(291.2809),tensor(16.9092),tensor(25.2239)
----- NEW FRAME -----
tensor(398.6019),tensor(312.7170),tensor(23.8647),tensor(36.0177)
tensor(299.9226),tensor(293.4631),tensor(16.8782),tensor(26.2054)
tensor(189.0491),tensor(283.0423),tensor(14.8868),tensor(20.9498)
----- NEW FRAME -----
tensor(435.5708),tensor(318.7571),tensor(26.6758),tensor(39.7756)
tensor(325.9717),tensor(296.5613),tensor(18.9285),tensor(25.9803)
tensor(212.7719),tensor(283.8788),tensor(14.9963),tensor(21.0219)
----- NEW FRAME -----
tensor(478.6153),tensor(324.5463),tensor(27.9138),tensor(40.8496)
tensor(357.1091),tensor(298.5953),tensor(19.2523),tensor(28.5229)
----- NEW FRAME -----
tensor(514.5285),tensor(331.3915),tensor(31.8882),tensor(47.0095)
tensor(378.9546),tensor(301.4093),tensor(19.1132),tensor(29.5730)
