sent.seconds;sent.microseconds;received.seconds;received.microseconds;sampleTimeStamp.seconds;sampleTimeStamp.microseconds;groundSteering; groundSteering-calculated
1584543601;595492;1317;82285;1584543601;595492;-0; 0.0;
1584543601;695940;1317;182745;1584543601;695940;-0; 0.29246733177912604;
1584543601;796412;1317;283218;1584543601;796412;-0; 0.2924438088163082;
1584543601;896869;1317;383676;1584543601;896869;-0; 0.29235154596567453;
1584543601;997330;1317;484116;1584543601;997330;-0; 0.2922963426544046;
1584543602;97748;1317;584538;1584543602;97748;-0; 0.29226173530979;
1584543602;198536;1317;685418;1584543602;198536;-0; 0.2922420571994407;
1584543602;299408;1317;786298;1584543602;299408;-0; 0.2922479073334839;
1584543602;400103;1317;886933;1584543602;400103;-0; 0.2923774592231277;
1584543602;500683;1317;987485;1584543602;500683;-0; 0.2923281346188807;
1584543602;601246;1318;88047;1584543602;601246;-0; 0.2923112117867583;
1584543602;701708;1318;188568;1584543602;701708;-0; 0.29235415170493967;
1584543602;802245;1318;289095;1584543602;802245;-0; 0.29328454726486514;
1584543602;902804;1318;389647;1584543602;902804;-0; 0.2945355199846215;
1584543603;3319;1318;490172;1584543603;3319;-0; 0.2943589454826006;
1584543603;104063;1318;591044;1584543603;104063;-0; 0.29445613964735523;
1584543603;205232;1318;692140;1584543603;205232;-0; 0.29447436033611035;
1584543603;305413;1318;792234;1584543603;305413;-0; 0.29440792679245115;
1584543603;406480;1318;893295;1584543603;406480;-0; 0.29456910749691806;
1584543603;506255;1318;993045;1584543603;506255;-0; 0.29561694352898077;
1584543603;606695;1319;93482;1584543603;606695;-0; 0.2510193791818442;
1584543603;707127;1319;193919;1584543603;707127;-0; 0.25059325629336776;
1584543603;807564;1319;294353;1584543603;807564;-0; 0.2935492300869437;
1584543603;907991;1319;394778;1584543603;907991;-0; 0.2985396111522259;
1584543604;8640;1319;495519;1584543604;8640;-0; -0.004945629670108698;
1584543604;109619;1319;596519;1584543604;109619;-0; -0.017048929205602525;
1584543604;210241;1319;697036;1584543604;210241;-0; -0.06086630104441146;
1584543604;310713;1319;797519;1584543604;310713;-0; -0.010613122634084315;
1584543604;411353;1319;898154;1584543604;411353;-0; -0.00794480395671976;
1584543604;511818;1319;998617;1584543604;511818;-0; 0.14624856838505856;
1584543604;612264;1320;99052;1584543604;612264;-0; -0.0009299156092932304;
1584543604;712827;1320;199638;1584543604;712827;-0; 0.2854242686086563;
1584543604;813316;1320;300113;1584543604;813316;0.03298867; 0.2705175662680936;
1584543604;914078;1320;400968;1584543604;914078;0.08097139; 0.2689285975241961;
1584543605;14755;1320;501564;1584543605;14755;0.1259624; 0.28617529558017435;
1584543605;115248;1320;602045;1584543605;115248;0.1739451; -0.008887439329830826;
1584543605;215753;1320;702563;1584543605;215753;0.09297372; -0.03280820935990453;
1584543605;316289;1320;803099;1584543605;316289;0.07797969; -0.03439607688241714;
1584543605;416812;1320;903679;1584543605;416812;0.0239958; -0.0331697330681921;
1584543605;517410;1321;4210;1584543605;517410;0.01799463; 0.29604901650899723;
1584543605;617929;1321;104736;1584543605;617929;0.02099521; 0.29182492741025007;
1584543605;718841;1321;205738;1584543605;718841;0.02099521; 0.28673666858563845;
1584543605;819501;1321;306288;1584543605;819501;0.0749791; -0.022908960602282313;
1584543605;919975;1321;406766;1584543605;919975;0.08397198; 0.2814615564503717;
1584543606;20474;1321;507273;1584543606;20474;0.01500292; -0.029258064605930167;
1584543606;121121;1321;607958;1584543606;121121;0.009001753; 0.27939561320342504;
1584543606;221688;1321;708494;1584543606;221688;0.01200234; 0.2661236717491991;
1584543606;322189;1321;808982;1584543606;322189;0.05698447; 0.26666747255658935;
1584543606;422853;1321;909647;1584543606;422853;0.09896602; -0.009308147845943526;
1584543606;523717;1322;10617;1584543606;523717;0.1259624; 0.29161741234861044;
1584543606;624393;1322;111191;1584543606;624393;0.1259624; 0.27164266830422407;
1584543606;724871;1322;211668;1584543606;724871;0.128963; 0.15932999133274883;
1584543606;825387;1322;312192;1584543606;825387;0.128963; -0.0088572476288315;
1584543606;925878;1322;412671;1584543606;925878;0.128963; 0.2904032013196069;
1584543607;26350;1322;513147;1584543607;26350;0.128963; 0.2758704998532037;
1584543607;126852;1322;613662;1584543607;126852;0.1259624; 0.18501452056583134;
1584543607;227362;1322;714171;1584543607;227362;0.08097139; 0.15801781165526357;
1584543607;327869;1322;814682;1584543607;327869;0.07197852; 0.24285500896718865;
1584543607;428447;1322;915252;1584543607;428447;0.0749791; 0.2095596653869342;
1584543607;528934;1323;15732;1584543607;528934;0.0749791; 0.16903948979681088;
1584543607;629427;1323;116250;1584543607;629427;0.1139601; 0.2502274625984395;
1584543607;730002;1323;216819;1584543607;730002;0.1139601; 0.2144213806117204;
1584543607;830574;1323;317396;1584543607;830574;0.1169607; -0.006692401299854878;
1584543607;931238;1323;418063;1584543607;931238;0.1709445; -0.04119962357775231;
1584543608;31781;1323;518580;1584543608;31781;0.1409564; 0.24593710751328574;
1584543608;132274;1323;619072;1584543608;132274;0.1229618; 0.26160315949433494;
1584543608;232758;1323;719555;1584543608;232758;0.1109684; 0.2665538245824119;
1584543608;333274;1323;820083;1584543608;333274;0.01200234; 0.26139181173736986;
1584543608;433751;1323;920545;1584543608;433751;-0; 0.2332732126643468;
1584543608;534233;1324;21028;1584543608;534233;-0; 0.24310533769635106;
1584543608;634702;1324;121510;1584543608;634702;-0; 0.24370723635838093;
1584543608;735192;1324;221975;1584543608;735192;-0; 0.23830923773727503;
1584543608;835668;1324;322471;1584543608;835668;-0; 0.23305900992056433;
1584543608;936187;1324;423000;1584543608;936187;-0; 0.24720328853243373;
1584543609;36895;1324;523753;1584543609;36895;-0; 0.24477387900880138;
1584543609;137507;1324;624292;1584543609;137507;-0; 0.1996935223004267;
1584543609;238095;1324;724883;1584543609;238095;-0; 0.19907397402074117;
1584543609;338764;1324;825556;1584543609;338764;-0; 0.19530911324424782;
1584543609;439555;1324;926358;1584543609;439555;-0; 0.18625944774385733;
1584543609;540235;1325;27030;1584543609;540235;-0; 0.18401243900424208;
1584543609;640862;1325;127659;1584543609;640862;-0; 0.2759097327722773;
1584543609;741663;1325;228463;1584543609;741663;-0; 0.1911262948035924;
1584543609;842335;1325;329138;1584543609;842335;-0; -0.002622695847295353;
1584543609;943036;1325;429835;1584543609;943036;-0; 0.29539664646764546;
1584543610;43733;1325;530531;1584543610;43733;-0; -0.011641239157678174;
1584543610;144589;1325;631500;1584543610;144589;-0; -0.04227309266983764;
1584543610;245481;1325;732352;1584543610;245481;-0.01199346; 0.2838776135852476;
1584543610;346382;1325;833274;1584543610;346382;-0.02398692; -0.0010550998761716945;
1584543610;447240;1325;934035;1584543610;447240;-0.0779708; -0.03300726869939624;
1584543610;547871;1326;34662;1584543610;547871;-0.0779708; -0.06788589726128563;
1584543610;648625;1326;135422;1584543610;648625;-0.1199524; 0.17421910321360817;
1584543610;749109;1326;235899;1584543610;749109;-0.1499404; 0.16993728151865556;
1584543610;849585;1326;336366;1584543610;849585;-0.1169518; 0.23222574543382318;
1584543610;950169;1326;436958;1584543610;950169;-0.04198155; 0.18027023104510775;
1584543611;50761;1326;537552;1584543611;50761;-0.02098634; 0.24096810336983493;
1584543611;151484;1326;638280;1584543611;151484;-0; 0.2695983965110908;
1584543611;252068;1326;738865;1584543611;252068;-0; 0.2595053280266107;
1584543611;352683;1326;839489;1584543611;352683;-0; -0.03579948695179391;
1584543611;453307;1326;940104;1584543611;453307;-0; 0.22121324106812673;
1584543611;553897;1327;40695;1584543611;553897;-0; 0.2858373613024991;
1584543611;654696;1327;141561;1584543611;654696;-0; 0.26534453221893844;
1584543611;755635;1327;242513;1584543611;755635;0.05698447; 0.25874963339875173;
1584543611;856373;1327;343155;1584543611;856373;0.05698447; -0.008655574394789534;
1584543611;956903;1327;443697;1584543611;956903;0.05698447; -0.007025802193037112;
1584543612;57394;1327;544185;1584543612;57394;0.07797969; -0.0018386272156961647;
1584543612;157913;1327;644724;1584543612;157913;0.07797969; 0.29171939691326615;
1584543612;258481;1327;745286;1584543612;258481;0.07797969; -0.007663191295739502;
1584543612;359154;1327;845982;1584543612;359154;0.07797969; -0.038302308354400516;
1584543612;459855;1327;946680;1584543612;459855;0.06298564; -0.0093479254514644;
1584543612;560828;1328;47905;1584543612;560828;0.06298564; 0.28559285249275507;
