                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3189,                 8.0045,                 1.5788,                0.14421,                    0.4,                0.13756,                0.08063,                 1.1207,                 3.0656,                 0.9456,                      0,                      0,                      0
                      2,                 2.2159,                 8.6034,                 1.3731,                0.16262,                    0.3,                0.15052,                0.08264,                 1.1188,                 3.1368,                0.94079,             1.9604e-05,             1.9604e-05,             1.9604e-05
                      3,                 2.2739,                 7.0467,                 1.3538,                0.19443,                    0.3,                0.15082,                0.08376,                 1.1307,                 3.4862,                0.93579,             3.8416e-05,             3.8416e-05,             3.8416e-05
                      4,                 2.0745,                 5.3591,                 1.2266,                0.19702,                    0.4,                0.13618,                0.08628,                 1.0987,                 4.3289,                0.90986,             5.6436e-05,             5.6436e-05,             5.6436e-05
                      5,                 1.7151,                 3.9421,                 1.0811,                0.27106,                    0.5,                0.19372,                0.11544,                  1.151,                 5.0181,                0.91575,             7.3664e-05,             7.3664e-05,             7.3664e-05
                      6,                  1.624,                 2.8486,                 1.0522,                0.31488,                    0.7,                0.40374,                 0.2292,                 1.2615,                 4.9401,                0.94487,               9.01e-05,               9.01e-05,               9.01e-05
                      7,                 1.6291,                 2.9881,                 1.0472,                0.40477,                    0.7,                 0.5649,                0.31647,                 1.3199,                 3.6784,                0.99047,             0.00010574,             0.00010574,             0.00010574
                      8,                 1.4501,                 2.6324,                 1.1304,                0.74989,                    0.6,                0.64521,                0.39404,                 1.3273,                 3.6467,                 1.0049,              0.0001206,              0.0001206,              0.0001206
                      9,                 1.4616,                 1.6179,                0.96926,                0.90027,                    0.5,                0.59343,                0.39525,                 1.2988,                 5.0935,                0.99843,             0.00013466,             0.00013466,             0.00013466
                     10,                 1.2809,                 1.9328,                0.95603,                0.95073,                    0.5,                0.56847,                0.40006,                 1.2574,                  4.853,                0.98291,             0.00014792,             0.00014792,             0.00014792
                     11,                 1.3267,                 1.8402,                 1.0101,                0.87062,                0.67548,                0.77637,                 0.5403,                 1.2067,                 4.8346,                0.96779,              0.0001604,              0.0001604,              0.0001604
                     12,                 1.2462,                 1.5645,                0.98898,                0.82435,                    0.7,                0.86132,                0.58938,                 1.1537,                 4.4688,                 0.9435,             0.00017208,             0.00017208,             0.00017208
                     13,                 1.2129,                 2.2231,                0.94986,                0.86283,                    0.7,                0.90673,                0.65406,                 1.0928,                 5.6152,                 0.9142,             0.00018298,             0.00018298,             0.00018298
                     14,                 1.2904,                 1.1093,                0.90951,                0.89691,                    0.8,                0.92882,                0.64281,                 1.0958,                 5.5816,                0.90699,             0.00019308,             0.00019308,             0.00019308
                     15,                 1.2754,                 1.1985,                0.92317,                0.73932,                    0.9,                0.89601,                0.61559,                 1.1492,                 4.2386,                0.91282,             0.00020238,             0.00020238,             0.00020238
                     16,                 1.4457,                 1.4262,                 1.0359,                0.88555,                0.77598,                0.86326,                0.58145,                 1.1218,                 2.9049,                 0.9094,              0.0002109,              0.0002109,              0.0002109
                     17,                 1.1335,                 1.1983,                0.90512,                 0.8695,                    0.8,                0.90908,                0.62009,                 1.0509,                 2.3482,                 0.9004,             0.00021862,             0.00021862,             0.00021862
                     18,                   1.35,                 1.1376,                0.95982,                 0.8695,                    0.8,                0.90908,                0.62009,                 1.0509,                 2.3482,                 0.9004,             0.00022556,             0.00022556,             0.00022556
                     19,                 1.1331,                 1.1353,                0.92215,                   0.81,                    0.9,                0.90939,                0.63157,                0.98285,                 2.6259,                0.89126,              0.0002317,              0.0002317,              0.0002317
                     20,                 1.0705,                 1.0224,                0.87964,                   0.81,                    0.9,                0.90939,                0.63157,                0.98285,                 2.6259,                0.89126,             0.00023704,             0.00023704,             0.00023704
                     21,                 1.3206,                 1.0243,                0.99074,                0.47257,                    0.9,                0.71937,                0.51524,                0.93602,                 3.0453,                0.88849,              0.0002416,              0.0002416,              0.0002416
                     22,                  1.299,                 1.0284,                 1.0401,                0.47257,                    0.9,                0.71937,                0.51524,                0.93602,                 3.0453,                0.88849,             0.00024536,             0.00024536,             0.00024536
                     23,                  1.099,                0.87947,                0.89379,                0.88689,                    0.9,                0.91357,                0.70451,                0.96589,                 2.4104,                0.88799,             0.00024834,             0.00024834,             0.00024834
                     24,                 1.4585,                0.91524,                 1.0162,                0.88689,                    0.9,                0.91357,                0.70451,                0.96589,                 2.4104,                0.88799,             0.00025052,             0.00025052,             0.00025052
                     25,                 1.2659,                0.86442,                0.88747,                0.88964,                    0.9,                0.91948,                0.67639,                 1.0103,                 2.4178,                 0.9016,              0.0002519,              0.0002519,              0.0002519
